Metric,Value
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000244413
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000272764
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000127367
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000272764
design_powergrid__voltage__worst,0.0000272764
design_powergrid__voltage__worst__net:VPWR,1.19998
design_powergrid__drop__worst,0.0000272764
design_powergrid__drop__worst__net:VPWR,0.0000244413
design_powergrid__voltage__worst__net:VGND,0.0000272764
design_powergrid__drop__worst__net:VGND,0.0000272764
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00001349999999999999949497862805625203463932848535478115081787109375
ir__drop__worst,0.00002440000000000000016640334943307522053146385587751865386962890625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
